148,148,2020,42,57.76,01/01/2020
149,149,2020,111,72.2,01/01/2020
150,150,2020,118,86.64,01/01/2020
151,151,2020,104,57.76,01/01/2020
152,152,2020,5,120,01/01/2020
153,153,2020,98,72.2,01/01/2020
154,154,2020,100,86.64,01/01/2020
155,155,2020,107,57.76,01/01/2020
156,156,2020,82,79.8,01/01/2020
157,157,2020,165,95.76,01/01/2020
158,158,2020,23,63.84,01/01/2020
159,159,2020,115,86.64,01/01/2020
160,160,2020,0,0,01/01/2020
161,161,2020,75,57.76,01/01/2020
162,162,2020,6,1095.49,01/01/2020
163,163,2020,8,209.25,01/01/2020
164,164,2020,16,279,01/01/2020
165,165,2020,15,530,01/01/2020
166,166,2020,33,636,01/01/2020
167,167,2020,18,742,01/01/2020
168,168,2020,8,848,01/01/2020
169,169,2020,24,424,01/01/2020
170,170,2020,0,0,01/01/2020
171,171,2020,8,939,01/01/2020
172,172,2020,8,1252,01/01/2020
173,173,2020,4,625.99,01/01/2020
174,174,2020,1,30,01/01/2020
175,175,2020,1,399.5,01/01/2020
176,176,2020,4,202,01/01/2020
177,177,2020,8,120,01/01/2020
178,178,2020,12,63,01/01/2020
179,179,2020,1,297,01/01/2020
180,180,2020,7,31,01/01/2020
181,181,2020,55,27,01/01/2020
182,182,2020,2,31.26,01/01/2020
183,183,2020,19,48,01/01/2020
184,184,2020,20,52,01/01/2020
185,185,2020,15,60,01/01/2020
186,186,2020,5,4.5,01/01/2020
187,187,2020,12,5.67,01/01/2020
188,188,2020,0,0,01/01/2020
189,189,2020,1084,0.12,01/01/2020
190,190,2020,6,125,01/01/2020
191,191,2020,423,0.17,01/01/2020
192,192,2020,8,85.2,01/01/2020
193,193,2020,87,0.19,01/01/2020
194,194,2020,30,140.4,01/01/2020
195,195,2020,1,36.75,01/01/2020
196,196,2020,5,58.5,01/01/2020
197,197,2020,0,0,01/01/2020
198,198,2020,99,3.68,01/01/2020
199,199,2020,200,1.3,01/01/2020
200,200,2020,22,2.59,01/01/2020
201,201,2020,0,0,01/01/2020
202,202,2020,24,3.7,01/01/2020
203,203,2020,82,2.6,01/01/2020
204,204,2020,8,25,01/01/2020
205,205,2020,2,121,01/01/2020
206,206,2020,6,115,01/01/2020
207,207,2020,505,0.9,01/01/2020
208,208,2020,900,0.62,01/01/2020
209,209,2020,99,1.43,01/01/2020
210,210,2020,500,0.95,01/01/2020
211,211,2020,220,1,01/01/2020
212,212,2020,300,1.2,01/01/2020
213,213,2020,600,1.43,01/01/2020
214,214,2020,1293,1.43,01/01/2020
215,215,2020,500,1.85,01/01/2020
216,216,2020,14,0.17,01/01/2020
217,217,2020,20,56.26,01/01/2020
218,218,2020,7,24,01/01/2020
219,219,2020,0,0,01/01/2020
220,220,2020,2,85,01/01/2020
221,221,2020,0,0,01/01/2020
222,222,2020,0,0,01/01/2020
223,223,2020,19,145,01/01/2020
224,224,2020,24,28,01/01/2020
225,225,2020,12,33,01/01/2020
226,226,2020,20,33.2,01/01/2020
227,227,2020,10,39,01/01/2020
228,228,2020,53,2.8,01/01/2020
229,229,2020,1,95,01/01/2020
230,230,2020,47,78,01/01/2020
231,231,2020,16,117,01/01/2020
232,232,2020,6,120,01/01/2020
233,233,2020,8,26,01/01/2020
234,234,2020,25,18.05,01/01/2020
235,235,2020,15,34.2,01/01/2020
236,236,2020,9,18.5,01/01/2020
237,237,2020,30,52.5,01/01/2020
238,238,2020,89,18,01/01/2020
239,239,2020,18,20,01/01/2020
240,240,2020,0,0,01/01/2020
241,241,2020,0,0,01/01/2020
242,242,2020,40,3.5,01/01/2020
243,243,2020,41,9.45,01/01/2020
244,244,2020,9,34.2,01/01/2020
245,245,2020,0,0,01/01/2020
246,246,2020,278,25.2,01/01/2020
247,247,2020,225,6.65,01/01/2020
248,248,2020,248,14,01/01/2020
249,249,2020,0,0,01/01/2020
250,250,2020,6,227.8,01/01/2020
251,251,2020,10,250,01/01/2020
252,252,2020,0,0,01/01/2020
253,253,2020,0,0,01/01/2020
254,254,2020,0,0,01/01/2020
255,255,2020,9,33.32,01/01/2020
256,256,2020,6,55,01/01/2020
257,257,2020,13,101.4,01/01/2020
258,258,2020,22,70,01/01/2020
259,259,2020,4,78,01/01/2020
260,260,2020,36,87.5,01/01/2020
261,261,2020,4,419.4,01/01/2020
262,262,2020,7,100,01/01/2020
263,263,2020,123,51.2,01/01/2020
264,264,2020,126,73.8,01/01/2020
265,265,2020,0,0,01/01/2020
266,266,2020,23,167.2,01/01/2020
267,267,2020,65,63,01/01/2020
268,268,2020,13,150,01/01/2020
269,269,2020,0,0,01/01/2020
270,270,2020,0,0,01/01/2020
271,271,2020,9,15,01/01/2020
272,272,2020,1,10,01/01/2020
273,273,2020,0,0,01/01/2020
274,274,2020,423,20,01/01/2020
275,275,2020,38,14,01/01/2020
276,276,2020,30,26,01/01/2020
277,277,2020,28,17.5,01/01/2020
278,278,2020,63,13,01/01/2020
279,279,2020,12,25,01/01/2020
280,280,2020,17,31,01/01/2020
281,281,2020,4,31,01/01/2020
282,282,2020,9,31,01/01/2020
283,283,2020,3,88.75,01/01/2020
284,284,2020,1,393.4,01/01/2020
285,285,2020,7,51.2,01/01/2020
286,286,2020,16,30,01/01/2020
287,287,2020,48,56.4,01/01/2020
288,288,2020,38,37,01/01/2020
289,289,2020,0,0,01/01/2020
290,290,2020,4,178,01/01/2020
291,291,2020,7,15,01/01/2020
292,292,2020,0,0,01/01/2020
293,293,2020,20,34.6,01/01/2020
294,294,2020,20,10,01/01/2020
295,295,2020,36,42,01/01/2020
296,296,2020,0,0,01/01/2020
297,297,2020,29,85,01/01/2020
298,298,2020,9,25,01/01/2020
299,299,2020,11,85,01/01/2020
300,300,2020,6,117.6,01/01/2020
301,301,2020,0,0,01/01/2020
302,302,2020,2,129.5,01/01/2020
303,303,2020,66,2.85,01/01/2020
304,304,2020,0,0,01/01/2020
305,305,2020,9,39.6,01/01/2020
306,306,2020,8,263,01/01/2020
307,307,2020,8,58,01/01/2020
308,308,2020,10,68,01/01/2020
309,309,2020,4,75,01/01/2020
310,310,2020,1,101,01/01/2020
311,311,2020,19,130.6,01/01/2020
312,312,2020,16,153,01/01/2020
313,313,2020,7,37.5,01/01/2020
314,314,2020,0,0,01/01/2020
315,315,2020,5,1365,01/01/2020
316,316,2020,0,0,01/01/2020
317,317,2020,17,6.75,01/01/2020
318,318,2020,1,40,01/01/2020
319,319,2020,12,5,01/01/2020
320,320,2020,53,20,01/01/2020
321,321,2020,9,120,01/01/2020
322,322,2020,7,165,01/01/2020
323,323,2020,0,0,01/01/2020
324,324,2020,46,9,01/01/2020
325,325,2020,45,6,01/01/2020
326,326,2020,0,0,01/01/2020
327,327,2020,0,0,01/01/2020
328,328,2020,0,0,01/01/2020
329,329,2020,20,28,01/01/2020
330,330,2020,10,13.3,01/01/2020
331,331,2020,59,21,01/01/2020
332,332,2020,2,150,01/01/2020
333,333,2020,7,233.75,01/01/2020
334,334,2020,3,45,01/01/2020
335,335,2020,9,42,01/01/2020
336,336,2020,480,11.51,01/01/2020
337,337,2020,348,17.28,01/01/2020
338,338,2020,200,23.5,01/01/2020
339,339,2020,200,38.65,01/01/2020
340,340,2020,279,3.08,01/01/2020
341,341,2020,119,7.38,01/01/2020
342,342,2020,26,185,01/01/2020
343,343,2020,34,6,01/01/2020
344,344,2020,25,10.84,01/01/2020
345,345,2020,30,70,01/01/2020
346,346,2020,0,0,01/01/2020
347,347,2020,28,40,01/01/2020
348,348,2020,10,460,01/01/2020
349,349,2020,1,122.5,01/01/2020
350,350,2020,4,65,01/01/2020
351,351,2020,9,55,01/01/2020
352,352,2020,0,0,01/01/2020
353,353,2020,283,2.5,01/01/2020
354,354,2020,11,67.5,01/01/2020
355,355,2020,11,77.75,01/01/2020
356,356,2020,12,123.75,01/01/2020
357,357,2020,11,172.5,01/01/2020
358,358,2020,5,35,01/01/2020
359,359,2020,24,4,01/01/2020
360,360,2020,6,10.5,01/01/2020
361,361,2020,12,13.5,01/01/2020
362,362,2020,238,25,01/01/2020
363,363,2020,4,75,01/01/2020
364,364,2020,77,14.25,01/01/2020
365,365,2020,12,11.87,01/01/2020
366,366,2020,15,14.25,01/01/2020
367,367,2020,1,65,01/01/2020
368,368,2020,0,0,01/01/2020
369,369,2020,0,0,01/01/2020
370,370,2020,177,7.8,01/01/2020
371,371,2020,0,0,01/01/2020
372,372,2020,98,8.3,01/01/2020
373,373,2020,90,8,01/01/2020
374,374,2020,155,8.5,01/01/2020
375,375,2020,7,8.5,01/01/2020
376,376,2020,87,7.8,01/01/2020
377,377,2020,155,8.3,01/01/2020
378,378,2020,41,12,01/01/2020
379,379,2020,126,8.3,01/01/2020
380,380,2020,0,0,01/01/2020
381,381,2020,0,0,01/01/2020
382,382,2020,0,0,01/01/2020
383,383,2020,15,11,01/01/2020
384,384,2020,0,0,01/01/2020
385,385,2020,282,32,01/01/2020
386,386,2020,16,9.1,01/01/2020
387,387,2020,10,10.83,01/01/2020
388,388,2020,9,12,01/01/2020
389,389,2020,5,10,01/01/2020
390,390,2020,9,9.6,01/01/2020
391,391,2020,6,26.6,01/01/2020
392,392,2020,1,25,01/01/2020
393,393,2020,8,14.38,01/01/2020
394,394,2020,24,18,01/01/2020
395,395,2020,0,0,01/01/2020
396,396,2020,12,391,01/01/2020
397,397,2020,10,279,01/01/2020
398,398,2020,9,189,01/01/2020
399,399,2020,11,297,01/01/2020
400,400,2020,8,549,01/01/2020
401,401,2020,15,10.83,01/01/2020
402,402,2020,0,0,01/01/2020
403,403,2020,49,80,01/01/2020
404,404,2020,22,40,01/01/2020
405,405,2020,44,125,01/01/2020
406,406,2020,17,57.5,01/01/2020
407,407,2020,1,260,01/01/2020
408,408,2020,4,430,01/01/2020
409,409,2020,0,0,01/01/2020
410,410,2020,5,90,01/01/2020
411,411,2020,2,183,01/01/2020
412,412,2020,0,0,01/01/2020
413,413,2020,0,0,01/01/2020
414,414,2020,0,0,01/01/2020
415,415,2020,0,0,01/01/2020
416,416,2020,0,0,01/01/2020
